0.0001,5.8097e-07
0.010099,8.7816e-05
0.020098,0.00027252
0.030097,0.00067178
0.040096,0.0015888
0.050095,0.003949
0.060094,0.011426
0.070093,0.047863
0.080092,0.57817
0.090091,0.22883
0.10009,0.063931
0.11009,0.03472
0.12009,0.024659
0.13009,0.020208
0.14009,0.018111
0.15008,0.01727
0.16008,0.017249
0.17008,0.017871
0.18008,0.019091
0.19008,0.020943
0.20008,0.023534
0.21008,0.027049
0.22008,0.031776
0.23008,0.038155
0.24008,0.046859
0.25008,0.05893
0.26007,0.076031
0.27007,0.10088
0.28007,0.13802
0.29007,0.19516
0.30007,0.28511
0.31007,0.42652
0.32007,0.63343
0.33007,0.869
0.34007,0.99816
0.35007,0.9298
0.36006,0.75814
0.37006,0.59366
0.38006,0.46963
0.39006,0.38213
0.40006,0.32092
0.41006,0.27766
0.42006,0.24673
0.43006,0.22444
0.44006,0.2084
0.45006,0.19705
0.46005,0.18935
0.47005,0.18459
0.48005,0.18231
0.49005,0.1822
0.50005,0.18409
0.51005,0.18787
0.52005,0.19351
0.53005,0.20106
0.54005,0.2106
0.55005,0.22227
0.56004,0.23625
0.57004,0.25276
0.58004,0.27207
0.59004,0.29447
0.60004,0.3203
0.61004,0.34989
0.62004,0.38354
0.63004,0.42153
0.64004,0.464
0.65004,0.51091
0.66003,0.56198
0.67003,0.61654
0.68003,0.67352
0.69003,0.73138
0.70003,0.78817
0.71003,0.84166
0.72003,0.88962
0.73003,0.93008
0.74003,0.96161
0.75003,0.98358
0.76002,0.9961
0.77002,1.0
0.78002,0.99661
0.79002,0.98748
0.80002,0.97424
0.81002,0.95836
0.82002,0.94113
0.83002,0.92359
0.84002,0.90652
0.85002,0.89051
0.86001,0.87596
0.87001,0.86313
0.88001,0.85216
0.89001,0.84314
0.90001,0.83606
0.91001,0.8309
0.92001,0.8276
0.93001,0.82606
0.94001,0.82619
0.95001,0.82787
0.96,0.83099
0.97,0.83543
0.98,0.84103
0.99,0.84767
